Team 1,Team 2,Venue,Winner,Man of the Match,Toss Winner
Pakistan,Namibia,"Queen's Sports Club, Zimbabwe",Namibia,Gerhard Erasmus,Pakistan
Scotland,South Africa,"Hagley Oval, New Zealand",Scotland,Richie Berrington,Scotland
West Indies,Zimbabwe,"Rajiv Gandhi International Cricket Stadium, India",West Indies,Jason Holder,West Indies
New Zealand,Nepal,"Queen's Park Oval, Trinidad, West Indies",New Zealand,Trent Boult,New Zealand
Bangladesh,Nepal,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Bangladesh,Shakib Al Hasan,Nepal
Scotland,Oman,"Malahide Cricket Club Ground, Ireland",Oman,Aqib Ilyas,Scotland
New Zealand,Sri Lanka,"Warner Park, St Kitts, West Indies",Sri Lanka,Kusal Perera,New Zealand
India,Hong Kong,"Wanderers Stadium, South Africa",Hong Kong,Babar Hayat,Hong Kong
South Africa,Netherlands,"Indore Cricket Stadium, India",South Africa,Quinton de Kock,Netherlands
Hong Kong,Namibia,"Jaipur Cricket Stadium, India",Hong Kong,Nizakat Khan,Hong Kong
Oman,Bangladesh,"Mission Road Ground, Hong Kong",Bangladesh,Mahmudullah,Bangladesh
Ireland,Australia,"M. A. Chidambaram Stadium, India",Ireland,Harry Tector,Australia
Papua New Guinea,Afghanistan,"Ranchi Cricket Stadium, India",Papua New Guinea,Lega Siaka,Papua New Guinea
Hong Kong,Papua New Guinea,"Kanpur Cricket Stadium, India",Papua New Guinea,Nosaina Pokana,Papua New Guinea
Nepal,Zimbabwe,"Wankhede Stadium, India",Zimbabwe,Sikandar Raza,Nepal
Papua New Guinea,Australia,"Kochi Cricket Stadium, India",Papua New Guinea,Charles Amini,Australia
Namibia,South Africa,"Indore Cricket Stadium, India",Namibia,JJ Smit,Namibia
New Zealand,Papua New Guinea,"Galle International Stadium, Sri Lanka",Papua New Guinea,Charles Amini,Papua New Guinea
West Indies,India,"Dubai International Stadium, UAE",India,Hardik Pandya,India
South Africa,India,"Dehradun Cricket Stadium, India",India,Rishabh Pant,South Africa
South Africa,Ireland,"Holkar Stadium, India",South Africa,David Miller,South Africa
Pakistan,Hong Kong,"Guwahati Cricket Stadium, India",Pakistan,Babar Azam,Hong Kong
Sri Lanka,Bangladesh,"Maharashtra Cricket Association Stadium, India",Sri Lanka,Kusal Perera,Sri Lanka
Namibia,South Africa,"Zahur Ahmed Chowdhury Stadium, Bangladesh",South Africa,David Miller,Namibia
Scotland,Ireland,"Kabul International Cricket Stadium, Afghanistan",Ireland,Harry Tector,Scotland
Hong Kong,Oman,"Seddon Park, New Zealand",Oman,Zeeshan Maqsood,Hong Kong
South Africa,Zimbabwe,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",South Africa,Anrich Nortje,Zimbabwe
Papua New Guinea,Hong Kong,"Thiruvananthapuram Cricket Stadium, India",Papua New Guinea,Tony Ura,Papua New Guinea
Oman,Nepal,"Al Amerat Cricket Ground, Oman",Nepal,Sandeep Lamichhane,Nepal
Bangladesh,Namibia,"Kensington Oval, Barbados, West Indies",Namibia,David Wiese,Bangladesh
Papua New Guinea,Nepal,"Al Amerat Cricket Ground, Oman",Nepal,Sandeep Lamichhane,Nepal
Netherlands,India,"Adelaide Oval, Australia",India,Virat Kohli,India
Afghanistan,Ireland,"Melbourne Cricket Ground, Australia",Ireland,Paul Stirling,Ireland
Ireland,Afghanistan,"Kanpur Cricket Stadium, India",Ireland,Kevin O'Brien,Afghanistan
New Zealand,West Indies,"Maharashtra Cricket Association Stadium, India",New Zealand,Tom Latham,New Zealand
South Africa,Bangladesh,"Dubai International Stadium, UAE",Bangladesh,Shakib Al Hasan,Bangladesh
Nepal,Zimbabwe,"Sher-e-Bangla National Stadium, Bangladesh",Nepal,Sandeep Lamichhane,Nepal
West Indies,Hong Kong,"Warner Park, St Kitts, West Indies",Hong Kong,Ehsan Khan,West Indies
West Indies,India,"The Grange Club, Scotland",India,Hardik Pandya,West Indies
England,Sri Lanka,"Dubai International Stadium, UAE",England,Jason Roy,England
Netherlands,Scotland,"Patna Cricket Stadium, India",Scotland,Richie Berrington,Scotland
New Zealand,Australia,"Newlands, South Africa",New Zealand,Trent Boult,Australia
India,South Africa,"Seddon Park, New Zealand",India,Rohit Sharma,India
England,Oman,"Arun Jaitley Stadium, India",Oman,Aqib Ilyas,England
New Zealand,Scotland,"Malahide Cricket Club Ground, Ireland",New Zealand,Kyle Jamieson,New Zealand
Pakistan,United Arab Emirates,"VRA Cricket Ground, Netherlands",United Arab Emirates,Chirag Suri,United Arab Emirates
Zimbabwe,India,"Harare Sports Club, Zimbabwe",Zimbabwe,Sikandar Raza,India
Netherlands,Sri Lanka,"Bay Oval, New Zealand",Netherlands,Fred Klaassen,Netherlands
Sri Lanka,South Africa,"Jharkhand State Cricket Association Stadium, India",Sri Lanka,Dinesh Chandimal,Sri Lanka
Pakistan,Hong Kong,"Harare Sports Club, Zimbabwe",Hong Kong,Nizakat Khan,Hong Kong
India,West Indies,"Greenfield International Stadium, India",India,Rohit Sharma,India
Bangladesh,Pakistan,"Chinnaswamy Stadium, India",Pakistan,Shaheen Afridi,Pakistan
Oman,New Zealand,"Warner Park, St Kitts, West Indies",Oman,Bilal Khan,New Zealand
Hong Kong,Bangladesh,"Sabina Park, Jamaica, West Indies",Hong Kong,Nizakat Khan,Bangladesh
Bangladesh,England,"VRA Cricket Ground, Netherlands",England,Ben Stokes,England
Hong Kong,United Arab Emirates,"VRA Cricket Ground, Netherlands",Hong Kong,Babar Hayat,United Arab Emirates
Afghanistan,India,"Old Trafford, England",India,Rohit Sharma,India
Nepal,Pakistan,"Kabul International Cricket Stadium, Afghanistan",Pakistan,Haris Rauf,Nepal
West Indies,Nepal,"Gaddafi Stadium, Pakistan",West Indies,Kieron Pollard,Nepal
United Arab Emirates,Zimbabwe,"Rajkot Cricket Stadium, India",United Arab Emirates,Chirag Suri,United Arab Emirates
Bangladesh,Zimbabwe,"Patna Cricket Stadium, India",Zimbabwe,Craig Ervine,Zimbabwe
South Africa,Australia,"Vidarbha Cricket Association Stadium, India",South Africa,Anrich Nortje,Australia
Zimbabwe,Australia,"Kabul International Cricket Stadium, Afghanistan",Zimbabwe,Sean Williams,Australia
West Indies,Bangladesh,"Dharamsala Cricket Stadium, India",West Indies,Chris Gayle,Bangladesh
New Zealand,Netherlands,"Galle International Stadium, Sri Lanka",New Zealand,Tom Latham,New Zealand
England,Papua New Guinea,"Tribhuvan University International Cricket Ground, Nepal",Papua New Guinea,Lega Siaka,England
Afghanistan,Oman,"Dehradun Cricket Stadium, India",Oman,Aqib Ilyas,Oman
Nepal,South Africa,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Nepal,Sandeep Lamichhane,Nepal
Namibia,Hong Kong,"Rajiv Gandhi International Cricket Stadium, India",Namibia,David Wiese,Hong Kong
Scotland,South Africa,"Chinnaswamy Stadium, India",South Africa,David Miller,South Africa
England,Bangladesh,"Sher-e-Bangla National Stadium, Bangladesh",England,Joe Root,England
England,Scotland,"Perth Stadium, Australia",Scotland,Safyaan Sharif,England
South Africa,Nepal,"Hagley Oval, New Zealand",South Africa,Anrich Nortje,South Africa
Papua New Guinea,United Arab Emirates,"Patna Cricket Stadium, India",Papua New Guinea,Charles Amini,Papua New Guinea
Oman,New Zealand,"National Stadium, Karachi, Pakistan",Oman,Zeeshan Maqsood,New Zealand
Ireland,Australia,"Cuttack Cricket Stadium, India",Ireland,Josh Little,Australia
India,Papua New Guinea,"Punjab Cricket Association IS Bindra Stadium, India",Papua New Guinea,Nosaina Pokana,India
South Africa,Zimbabwe,"Queen's Park Oval, Trinidad, West Indies",Zimbabwe,Craig Ervine,Zimbabwe
Sri Lanka,Nepal,"Providence Stadium, Guyana, West Indies",Sri Lanka,Angelo Mathews,Nepal
Papua New Guinea,Hong Kong,"Saurashtra Cricket Association Stadium, India",Hong Kong,Nizakat Khan,Papua New Guinea
Bangladesh,Scotland,"R. Premadasa Stadium, Sri Lanka",Bangladesh,Shakib Al Hasan,Bangladesh
South Africa,Namibia,"Harare Sports Club, Zimbabwe",Namibia,Ruben Trumpelmann,South Africa
United Arab Emirates,India,"Wanderers Cricket Ground, Namibia",United Arab Emirates,Ahmed Raza,United Arab Emirates
Oman,Bangladesh,"VRA Cricket Ground, Netherlands",Bangladesh,Mushfiqur Rahim,Bangladesh
Nepal,Oman,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Oman,Jatinder Singh,Oman
Oman,South Africa,"Feroz Shah Kotla Ground, India",Oman,Jatinder Singh,South Africa
Oman,Pakistan,"Surat Cricket Stadium, India",Oman,Bilal Khan,Pakistan
Zimbabwe,Papua New Guinea,"Gaddafi Stadium, Pakistan",Papua New Guinea,Charles Amini,Papua New Guinea
Papua New Guinea,Afghanistan,"Vizag Cricket Stadium, India",Papua New Guinea,Lega Siaka,Afghanistan
India,Scotland,"Guwahati Cricket Stadium, India",India,Hardik Pandya,Scotland
Bangladesh,Ireland,"Galle International Stadium, Sri Lanka",Ireland,Josh Little,Bangladesh
Papua New Guinea,Ireland,"Browne Park, Montserrat, West Indies",Ireland,Josh Little,Ireland
New Zealand,South Africa,"Feroz Shah Kotla Ground, India",New Zealand,Kyle Jamieson,South Africa
Oman,Zimbabwe,"Bay Oval, New Zealand",Zimbabwe,Blessing Muzarabani,Zimbabwe
Scotland,Nepal,"Himachal Pradesh Cricket Association Stadium, India",Scotland,George Munsey,Nepal
Zimbabwe,Pakistan,"Kabul International Cricket Stadium, Afghanistan",Zimbabwe,Brendan Taylor,Pakistan
Netherlands,Pakistan,"National Stadium, Karachi, Pakistan",Netherlands,Pieter Seelaar,Pakistan
New Zealand,Hong Kong,"Harare Sports Club, Zimbabwe",Hong Kong,Kinchit Shah,Hong Kong
Sri Lanka,Ireland,"The Grange Club, Scotland",Sri Lanka,Angelo Mathews,Ireland
England,India,"Indore Cricket Stadium, India",India,Jasprit Bumrah,England
Nepal,Pakistan,"Vidarbha Cricket Association Stadium, India",Pakistan,Babar Azam,Pakistan
Papua New Guinea,Scotland,"Sydney Cricket Ground, Australia",Papua New Guinea,Assad Vala,Papua New Guinea
Bangladesh,Papua New Guinea,"Kanpur Cricket Stadium, India",Papua New Guinea,Nosaina Pokana,Bangladesh
Australia,Sri Lanka,"Jharkhand State Cricket Association Stadium, India",Australia,Glenn Maxwell,Australia
Netherlands,England,"Newlands, South Africa",England,Ben Stokes,Netherlands
Scotland,West Indies,"Bellerive Oval, Australia",West Indies,Andre Russell,West Indies
India,Nepal,"Harare Sports Club, Zimbabwe",India,Jasprit Bumrah,India
England,South Africa,"Adelaide Oval, Australia",England,Ben Stokes,England
Zimbabwe,England,"Perth Stadium, Australia",England,Joe Root,Zimbabwe
Oman,Nepal,"Sharjah Cricket Stadium, UAE",Nepal,Sandeep Lamichhane,Oman
Papua New Guinea,West Indies,"Jharkhand State Cricket Association Stadium, India",West Indies,Nicholas Pooran,West Indies
Hong Kong,India,"Lord's, England",India,Jasprit Bumrah,Hong Kong
Australia,Papua New Guinea,"Lord's, England",Australia,Glenn Maxwell,Australia
United Arab Emirates,Nepal,"Arun Jaitley Stadium, India",United Arab Emirates,Ahmed Raza,United Arab Emirates
Sri Lanka,Netherlands,"Warner Park, St Kitts, West Indies",Netherlands,Fred Klaassen,Netherlands
South Africa,Papua New Guinea,"Arun Jaitley Stadium, India",Papua New Guinea,Assad Vala,South Africa
Sri Lanka,Scotland,"Queen's Park Oval, Trinidad, West Indies",Scotland,Kyle Coetzer,Scotland
Sri Lanka,Oman,"Guwahati Cricket Stadium, India",Sri Lanka,Angelo Mathews,Oman
Oman,Ireland,"Barsapara Stadium, India",Oman,Zeeshan Maqsood,Ireland
New Zealand,Namibia,"Sydney Cricket Ground, Australia",New Zealand,Kyle Jamieson,New Zealand
Papua New Guinea,Australia,"Amini Park, Papua New Guinea",Papua New Guinea,Lega Siaka,Australia
Sri Lanka,Oman,"Himachal Pradesh Cricket Association Stadium, India",Oman,Aqib Ilyas,Oman
Afghanistan,Ireland,"Chinnaswamy Stadium, India",Afghanistan,Rahmanullah Gurbaz,Afghanistan
Nepal,West Indies,"Pune Cricket Stadium, India",West Indies,Nicholas Pooran,West Indies
Ireland,South Africa,"Dharamsala Cricket Stadium, India",Ireland,Kevin O'Brien,South Africa
Papua New Guinea,India,"Surat Cricket Stadium, India",Papua New Guinea,Nosaina Pokana,India
United Arab Emirates,Pakistan,"Galle International Stadium, Sri Lanka",Pakistan,Babar Azam,United Arab Emirates
India,Zimbabwe,"R. Premadasa Stadium, Sri Lanka",India,Rohit Sharma,Zimbabwe
Oman,Sri Lanka,"Nagpur Cricket Stadium, India",Oman,Bilal Khan,Oman
Papua New Guinea,Nepal,"Kabul International Cricket Stadium, Afghanistan",Nepal,Dipendra Singh Airee,Papua New Guinea
Ireland,West Indies,"Jaipur Cricket Stadium, India",Ireland,Harry Tector,Ireland
Oman,Ireland,"Tribhuvan University International Cricket Ground, Nepal",Ireland,Andrew Balbirnie,Oman
Bangladesh,Zimbabwe,"Wanderers Stadium, South Africa",Zimbabwe,Sean Williams,Zimbabwe
India,Afghanistan,"Sharjah Cricket Stadium, UAE",India,Rishabh Pant,India
West Indies,South Africa,"The Grange Club, Scotland",South Africa,Anrich Nortje,West Indies
Pakistan,Oman,"Holkar Stadium, India",Oman,Aqib Ilyas,Oman
Papua New Guinea,West Indies,"Bellerive Oval, Australia",West Indies,Kieron Pollard,Papua New Guinea
Australia,Papua New Guinea,"Galle International Stadium, Sri Lanka",Australia,David Warner,Papua New Guinea
Bangladesh,England,"Malahide Cricket Club Ground, Ireland",England,Joe Root,Bangladesh
Bangladesh,Afghanistan,"National Stadium, Karachi, Pakistan",Afghanistan,Mohammad Nabi,Bangladesh
Netherlands,Ireland,"Wankhede Stadium, India",Netherlands,Max O'Dowd,Ireland
South Africa,Hong Kong,"Lord's, England",Hong Kong,Ehsan Khan,South Africa
South Africa,Oman,"Wanderers Stadium, South Africa",South Africa,David Miller,South Africa
South Africa,United Arab Emirates,"R. Premadasa Stadium, Sri Lanka",South Africa,Anrich Nortje,South Africa
Pakistan,Bangladesh,"Perth Stadium, Australia",Bangladesh,Mahmudullah,Pakistan
Afghanistan,India,"Eden Gardens, India",India,Rohit Sharma,India
Namibia,Sri Lanka,"Perth Stadium, Australia",Sri Lanka,Dinesh Chandimal,Namibia
Nepal,India,"The Grange Club, Scotland",Nepal,Dipendra Singh Airee,Nepal
Sri Lanka,Ireland,"Maharashtra Cricket Association Stadium, India",Sri Lanka,Kusal Perera,Sri Lanka
Netherlands,Oman,"Old Trafford, England",Netherlands,Fred Klaassen,Netherlands
Australia,Netherlands,"Sharjah Cricket Stadium, UAE",Australia,Glenn Maxwell,Australia
Ireland,Oman,"Himachal Pradesh Cricket Association Stadium, India",Ireland,Paul Stirling,Oman
Namibia,India,"Adelaide Oval, Australia",Namibia,Craig Williams,Namibia
Australia,Nepal,"Barsapara Stadium, India",Nepal,Sandeep Lamichhane,Nepal
Papua New Guinea,England,"Himachal Pradesh Cricket Association Stadium, India",Papua New Guinea,Lega Siaka,England
Afghanistan,Scotland,"Mission Road Ground, Hong Kong",Afghanistan,Hazratullah Zazai,Scotland
Hong Kong,India,"Hyderabad Cricket Stadium, India",India,Jasprit Bumrah,Hong Kong
Hong Kong,Netherlands,"Mission Road Ground, Hong Kong",Hong Kong,Kinchit Shah,Netherlands
United Arab Emirates,Hong Kong,"Pune Cricket Stadium, India",United Arab Emirates,Muhammad Usman,United Arab Emirates
New Zealand,United Arab Emirates,"Mission Road Ground, Hong Kong",New Zealand,Kane Williamson,New Zealand
Netherlands,Nepal,"Kabul International Cricket Stadium, Afghanistan",Nepal,Sandeep Lamichhane,Netherlands
United Arab Emirates,Oman,"Eden Park, New Zealand",United Arab Emirates,Muhammad Usman,United Arab Emirates
Zimbabwe,Ireland,"Al Amerat Cricket Ground, Oman",Zimbabwe,Blessing Muzarabani,Zimbabwe
Oman,Australia,"Adelaide Oval, Australia",Oman,Bilal Khan,Oman
Ireland,Netherlands,"Alokozay Kabul International Cricket Ground, Afghanistan",Ireland,Paul Stirling,Netherlands
Namibia,Ireland,"Perth Stadium, Australia",Namibia,Craig Williams,Ireland
West Indies,Ireland,"Old Trafford, England",West Indies,Kieron Pollard,Ireland
Namibia,Pakistan,"Vizag Cricket Stadium, India",Pakistan,Haris Rauf,Pakistan
Pakistan,England,"Patna Cricket Stadium, India",England,Ben Stokes,England
Pakistan,Sri Lanka,"Indore Cricket Stadium, India",Pakistan,Shadab Khan,Sri Lanka
Afghanistan,United Arab Emirates,"Malahide Cricket Club Ground, Ireland",Afghanistan,Hazratullah Zazai,United Arab Emirates
Netherlands,New Zealand,"Dehradun Cricket Stadium, India",Netherlands,Bas de Leede,New Zealand
Scotland,Papua New Guinea,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Scotland,Mark Watt,Scotland
Afghanistan,England,"Seddon Park, New Zealand",England,Ben Stokes,England
Nepal,South Africa,"Wanderers Stadium, South Africa",South Africa,Faf du Plessis,South Africa
South Africa,Netherlands,"Saurashtra Cricket Association Stadium, India",South Africa,David Miller,Netherlands
Nepal,Ireland,"Wankhede Stadium, India",Nepal,Paras Khadka,Ireland
New Zealand,South Africa,"Rajiv Gandhi International Cricket Stadium, India",New Zealand,Ross Taylor,South Africa
Oman,Australia,"Eden Gardens, India",Australia,Mitchell Starc,Australia
Namibia,Zimbabwe,"Motera Stadium, India",Zimbabwe,Brendan Taylor,Namibia
West Indies,Pakistan,"Newlands, South Africa",West Indies,Kieron Pollard,West Indies
Nepal,Namibia,"Cuttack Cricket Stadium, India",Nepal,Paras Khadka,Namibia
South Africa,Zimbabwe,"Kanpur Cricket Stadium, India",Zimbabwe,Brendan Taylor,Zimbabwe
Ireland,United Arab Emirates,"Feroz Shah Kotla Ground, India",Ireland,Josh Little,Ireland
India,England,"The Grange Club, Scotland",England,Joe Root,England
United Arab Emirates,Zimbabwe,"Dharamsala Cricket Stadium, India",United Arab Emirates,Ahmed Raza,Zimbabwe
South Africa,United Arab Emirates,"Jharkhand State Cricket Association Stadium, India",South Africa,David Miller,South Africa
South Africa,West Indies,"Lucknow Cricket Stadium, India",West Indies,Jason Holder,South Africa
Netherlands,West Indies,"Amini Park, Papua New Guinea",West Indies,Nicholas Pooran,West Indies
Sri Lanka,Hong Kong,"VRA Cricket Ground, Netherlands",Hong Kong,Babar Hayat,Sri Lanka
Hong Kong,Namibia,"Feroz Shah Kotla Ground, India",Namibia,Ruben Trumpelmann,Namibia
Nepal,New Zealand,"The Grange Club, Scotland",New Zealand,Trent Boult,New Zealand
New Zealand,West Indies,"Vidarbha Cricket Association Stadium, India",West Indies,Nicholas Pooran,New Zealand
Oman,West Indies,"Raipur International Cricket Stadium, India",West Indies,Chris Gayle,Oman
Namibia,Ireland,"Himachal Pradesh Cricket Association Stadium, India",Ireland,Harry Tector,Ireland
Pakistan,Papua New Guinea,"Hyderabad Cricket Stadium, India",Papua New Guinea,Tony Ura,Papua New Guinea
India,Nepal,"Arun Jaitley Stadium, India",Nepal,Karan KC,Nepal
Scotland,Hong Kong,"Pune Cricket Stadium, India",Scotland,Safyaan Sharif,Scotland
Ireland,Scotland,"Mission Road Ground, Hong Kong",Ireland,Andrew Balbirnie,Ireland
Pakistan,Afghanistan,"Providence Stadium, Guyana, West Indies",Pakistan,Shadab Khan,Pakistan
United Arab Emirates,India,"Himachal Pradesh Cricket Association Stadium, India",India,Rishabh Pant,United Arab Emirates
Netherlands,Pakistan,"Amini Park, Papua New Guinea",Netherlands,Max O'Dowd,Pakistan
West Indies,Australia,"Al Amerat Cricket Ground, Oman",Australia,Glenn Maxwell,West Indies
Hong Kong,Afghanistan,"Guwahati Cricket Stadium, India",Afghanistan,Rashid Khan,Hong Kong
Afghanistan,Pakistan,"Vizag Cricket Stadium, India",Afghanistan,Mohammad Nabi,Afghanistan
India,Hong Kong,"Mission Road Ground, Hong Kong",Hong Kong,Aizaz Khan,Hong Kong
Pakistan,New Zealand,"Rajkot Cricket Stadium, India",New Zealand,Kane Williamson,Pakistan
United Arab Emirates,Afghanistan,"Providence Stadium, Guyana, West Indies",United Arab Emirates,Rohan Mustafa,United Arab Emirates
Scotland,Sri Lanka,"Raipur International Cricket Stadium, India",Sri Lanka,Angelo Mathews,Scotland
England,United Arab Emirates,"Sabina Park, Jamaica, West Indies",United Arab Emirates,Chirag Suri,England
Namibia,England,"Sher-e-Bangla National Stadium, Bangladesh",England,Jos Buttler,Namibia
